ticker,sector,volatility,var_95,var_99,cvar_95,cvar_99,max_drawdown,sharpe_ratio,sortino_ratio
ADANIENT,Materials,0.45401923992698484,-0.028032359814463715,-0.05635087803349355,-0.06175398946619891,-0.16282238498884402,-0.4009601536245797,-0.008960669152751085,-0.009842905207336917
BPCL,Energy,0.3871945379343197,-0.03346891457834287,-0.04592996043264482,-0.047790263016689614,-0.07430178153061695,-0.23665360183808629,1.30883119925694,2.0087898889074673
ADANIPORTS,Services,0.3767266545133675,-0.023117933836724277,-0.061644193846262296,-0.05413126117007228,-0.11128731764994952,-0.2851303336163258,0.8034142750457798,1.0093256560258472
TRENT,Consumer Services,0.37092016911867265,-0.02469264140458298,-0.038918406372343915,-0.035246406024952714,-0.053087997691867006,-0.10589141976365815,3.503413554046977,6.852797885980209
BEL,Services,0.3580784153065935,-0.02801652962115046,-0.04113907590417879,-0.03957775889694132,-0.054195836769855586,-0.20312965722801793,2.096304718786117,4.0034519629866265
SHRIRAMFIN,Financial Services,0.3442651279253105,-0.030221382976047848,-0.045119791609212284,-0.041324819673378234,-0.06378853728744645,-0.22771431327426325,1.0452433030251702,1.744162298111357
ONGC,Energy,0.32958299386177975,-0.023622331991619477,-0.05188947395520758,-0.0429605174900859,-0.0815398181577071,-0.2914411119239214,0.8224166120272142,1.1618646972191387
COALINDIA,Energy,0.3232502537446545,-0.03267848586487787,-0.052819990000690285,-0.04616606977946531,-0.0772692879863079,-0.24870466321243495,0.9776466115453201,1.3328040849192069
HINDALCO,Materials,0.312882007655369,-0.02905942515859943,-0.0549883257957484,-0.04824919849663053,-0.09347281317001344,-0.183387358184765,0.8746852076478406,1.0105589848141283
TATASTEEL,Materials,0.3051011916187167,-0.026150006640209278,-0.046157057898656345,-0.03924583725184107,-0.05488072738237798,-0.24662844662844702,0.3955141447805016,0.6379754275981616
M&M,Automobile,0.3049933153106349,-0.027617570787555355,-0.03783545467953481,-0.03629044776755601,-0.051484510872002155,-0.15233384466080202,1.9539793911146197,3.3339577452322433
INDUSINDBK,Financial Services,0.298757139344767,-0.02591247850181544,-0.03877493647920486,-0.04513718203766861,-0.10910335493835514,-0.41886490807354143,-1.1015311363495195,-1.157676359429585
NTPC,Utilities,0.2957415962517367,-0.025152809299396596,-0.03590192104789264,-0.03846290959089678,-0.07020603952889297,-0.1964124548736462,1.2720225060440609,1.812845204228132
TATAMOTORS,Automobile,0.2841367826654125,-0.023937691323576597,-0.05075481196796141,-0.04249298811251502,-0.06964017633627628,-0.3356285234754915,0.7358520083697597,1.021160854509306
WIPRO,Information Technology,0.27415250361985616,-0.024439738838891834,-0.03205215614086918,-0.03363216339543996,-0.05453230256733858,-0.1953038674033146,1.0785262805830338,1.6673472552054964
LT,Construction,0.26929362987455735,-0.022971381143274537,-0.04233311218732165,-0.03845726721847316,-0.076677327099919,-0.147615945805107,0.47716029458897213,0.5797888661408418
HEROMOTOCO,Automobile,0.262933252350986,-0.024958350904172543,-0.04140484217148705,-0.03306662192383895,-0.0437052722433523,-0.2699194740370399,1.5116426929580142,2.5532556594758082
JSWSTEEL,Materials,0.26008686307914824,-0.022197317889993275,-0.03786354415236618,-0.033448626767214294,-0.055026664673214674,-0.1137034514078107,0.753132351407888,1.1695642006185605
CIPLA,Healthcare,0.2592690625506749,-0.02026634590814421,-0.03728184192752718,-0.031829818296990386,-0.053318164292015156,-0.15605474561142513,0.7206603068463806,1.163381366691172
POWERGRID,Utilities,0.2584372270238417,-0.025263736840766354,-0.03924064882325773,-0.03471565140953979,-0.05350640785124339,-0.14612122041318912,1.8016103057340045,2.6001559709364166
EICHERMOT,Automobile,0.2555620894090499,-0.019728092232609108,-0.03637660930867217,-0.030523090723908117,-0.04150865416364724,-0.134893011350724,1.3158963323761919,2.312883106393081
TECHM,Information Technology,0.2543075344733978,-0.023772516225107853,-0.0343083187777602,-0.03120282942768783,-0.04724677186153244,-0.16215064455413816,1.1993839484141608,2.0242759108766992
AXISBANK,Financial Services,0.2491515607608665,-0.02350597840324098,-0.041948187287661844,-0.0348665168774983,-0.056842043940483124,-0.14514537311166784,0.2567604843827993,0.37994644243204856
SBILIFE,Financial Services,0.2399182384397405,-0.022254302735420683,-0.03428232145412874,-0.029458694142368954,-0.04370454176488603,-0.233686775723952,0.42675117044222505,0.7382895264162296
TATACONSUM,Unknown,0.23501849605490105,-0.020340432720787272,-0.03466261792251664,-0.03113212805907152,-0.05330787739041676,-0.26833378810009195,0.25715544447892463,0.3819815113501773
KOTAKBANK,Financial Services,0.23370847295222744,-0.018584944244105034,-0.038270247091101314,-0.035061744824665515,-0.07250386410139213,-0.194993103807218,-0.019311152617376683,-0.02141817373820611
SBIN,Financial Services,0.23325420988258763,-0.01884012954261418,-0.03807516990271738,-0.0306341016378963,-0.04287483642926352,-0.13983548766157522,1.082467306301835,1.713910356392467
HDFCLIFE,Financial Services,0.23224527652730087,-0.02165600007290489,-0.03600419542032626,-0.030247866853847092,-0.04168332114159886,-0.24443344878772919,0.2174554466504635,0.3527979129699951
INFY,Information Technology,0.23005198777263522,-0.020203291608270103,-0.0319495996262651,-0.028592131661261636,-0.03986523510218276,-0.19416577524646603,0.9907781726801748,1.6886104450495922
BAJAJ-AUTO,Automobile,0.22993021931564622,-0.015516934855877284,-0.018974034742683794,-0.018169859229888934,-0.019505825833009305,-0.04189058714225875,4.780787390330881,12.542993034937972
GRASIM,Materials,0.2296265629964927,-0.022363208745958353,-0.035706283426288066,-0.029317243834131132,-0.042107691832524795,-0.11985934065934056,1.0833733019951517,1.7237340899344842
HCLTECH,Information Technology,0.2269205446848875,-0.019046275957110816,-0.031730450789764525,-0.027149881768859293,-0.04356882567453416,-0.2270220588235297,1.5689561288410152,2.565561762938899
TITAN,Consumer Goods,0.2244003452401477,-0.02200331838753696,-0.033989625923458854,-0.031643308458173806,-0.047234076364594126,-0.19288014172474713,0.02640707264348466,0.037839329089710036
BAJAJFINSV,Financial Services,0.2241139136404337,-0.023901608018717834,-0.03448697367479155,-0.03173493443039474,-0.04671663581977795,-0.21955040533147688,-0.011209053542042942,-0.015906081664727168
APOLLOHOSP,Healthcare,0.2214214659166076,-0.021523736295547158,-0.0409910285774468,-0.030824178383684852,-0.04375717641516158,-0.12636825719068873,1.2862831908227519,1.8626498227611437
BHARTIARTL,Telecommunications,0.21694286761678744,-0.018800876971632602,-0.02601616082130678,-0.025744635258039463,-0.042517038637196025,-0.1388684998023824,2.0554585530101446,3.2087622832760845
HDFCBANK,Financial Services,0.21569621375392037,-0.015651848277457154,-0.029556249323745253,-0.03069198831566928,-0.06644354298120991,-0.18677782653210454,0.5160815464634165,0.5612036692115082
RELIANCE,Energy,0.2152911413408254,-0.018711618165835452,-0.03474397042744386,-0.029500481217901282,-0.049789796355901715,-0.23605471922043855,0.23807250019734166,0.3345519102900475
TCS,Information Technology,0.20893664659511132,-0.017727128807293435,-0.0299937325200154,-0.024990654269629726,-0.03602646688875614,-0.12995200568821427,0.6695139023093243,1.1733409257295095
BRITANNIA,Consumer Goods,0.20699117458585864,-0.017685610505152494,-0.0340323488904666,-0.0292976346374904,-0.056399443328466026,-0.2548382342674969,0.18718897742098706,0.24508983693922187
ASIANPAINT,Consumer Goods,0.2010455570613753,-0.020801996739747187,-0.0391215575301006,-0.032585035168161004,-0.055976321181577804,-0.28677172524196376,-1.243757763817645,-1.4797902407083483
NESTLEIND,Consumer Goods,0.19869857405245528,-0.021511083796948424,-0.031447101017539565,-0.028063911788571958,-0.03313908630592114,-0.20783886771910687,-0.12106963329247517,-0.18135432273944332
DRREDDY,Healthcare,0.19827419408142508,-0.0187751804221696,-0.03222380168946049,-0.02690246688456431,-0.03960124961546633,-0.15500286727693655,0.3225679560575259,0.4864439142440048
BAJFINANCE,Financial Services,0.19558080073741393,-0.018634972570590647,-0.03516771377595955,-0.030896906016579906,-0.042135873804421076,-0.04427854292701767,-0.9765818539344302,-1.121379411212196
HINDUNILVR,Consumer Goods,0.19166715379255692,-0.0168838046473322,-0.031970168041116194,-0.025943495645961583,-0.04447050376050088,-0.2132208482607186,-0.2102746921483223,-0.30516891256643
ICICIBANK,Financial Services,0.18838369855096176,-0.01666131187878777,-0.026023694959059138,-0.023175698863919063,-0.03448684415283106,-0.07979383770362296,1.3056456918405974,2.1507125561968037
SUNPHARMA,Healthcare,0.18625279002021658,-0.01621249732657677,-0.027009952041699037,-0.02348677330714223,-0.03488289433110662,-0.12238760165720475,1.9910347193503979,3.118422286463198
ITC,Consumer Goods,0.18359171878188646,-0.01785160134062158,-0.028095327804777893,-0.023189737560399097,-0.035264905783218614,-0.1548454688318488,0.19722470667577807,0.34007982887217675
